Tiempo(s),Crudo(m),Filtro_EMA(m),Kalman(m)
0.00,0.1087,0.1087,0.1077
0.05,0.1084,0.1086,0.1068
0.10,0.1084,0.1085,0.1055
0.15,0.1089,0.1087,0.1043
0.20,0.1085,0.1086,0.1030
0.25,0.1088,0.1086,0.1019
0.30,0.1088,0.1087,0.1009
0.35,0.1083,0.1086,0.0999
0.40,0.1080,0.1084,0.0990
0.45,0.1090,0.1086,0.0981
0.50,0.1086,0.1086,0.0975
0.55,0.1100,0.1090,0.0970
0.60,0.1089,0.1090,0.0964
0.65,0.1092,0.1091,0.0960
0.70,0.1083,0.1088,0.0956
0.75,0.1080,0.1086,0.0952
0.80,0.1084,0.1085,0.0949
0.85,0.1086,0.1086,0.0945
0.90,0.1087,0.1086,0.0943
0.95,0.1090,0.1087,0.0942
1.00,0.1087,0.1087,0.0939
1.05,0.1061,0.1079,0.0937
1.10,0.1070,0.1076,0.0934
1.15,0.1008,0.1056,0.0929
1.20,0.1032,0.1049,0.0924
1.25,0.0991,0.1031,0.0915
1.30,0.0953,0.1008,0.0906
1.35,0.1065,0.1025,0.0899
1.40,0.1031,0.1027,0.0968
1.45,0.1022,0.1025,0.1026
1.50,0.1081,0.1042,0.1077
1.55,0.1094,0.1058,0.1122
1.60,0.1088,0.1067,0.1161
1.65,0.1088,0.1073,0.1195
1.70,0.1096,0.1080,0.1200
1.75,0.1089,0.1083,0.1200
1.80,0.1086,0.1084,0.1182
1.85,0.1093,0.1086,0.1167
1.90,0.1086,0.1086,0.1154
1.95,0.1084,0.1085,0.1120
2.00,0.1087,0.1086,0.1090
2.05,0.1084,0.1086,0.1065
2.10,0.1088,0.1086,0.1044
2.15,0.1086,0.1086,0.1026
2.20,0.1088,0.1087,0.1011
2.25,0.1082,0.1085,0.0998
2.30,0.1060,0.1078,0.0986
2.35,0.1088,0.1081,0.0976
2.40,0.1079,0.1080,0.0968
2.45,0.1089,0.1083,0.0962
2.50,0.1092,0.1086,0.0957
2.55,0.1061,0.1078,0.0951
2.60,0.1083,0.1080,0.0947
2.65,0.1032,0.1065,0.0941
2.70,0.1006,0.1047,0.0933
2.75,0.1016,0.1038,0.0925
2.80,0.0962,0.1015,0.0915
2.85,0.0932,0.0990,0.0902
2.90,0.0975,0.0986,0.0891
2.95,0.0974,0.0982,0.0954
3.00,0.1020,0.0994,0.1009
3.05,0.1088,0.1022,0.1059
3.10,0.1085,0.1041,0.1104
3.15,0.1082,0.1053,0.1144
3.20,0.1074,0.1059,0.1178
3.25,0.1084,0.1067,0.1200
3.30,0.1088,0.1073,0.1200
3.35,0.1083,0.1076,0.1180
3.40,0.1086,0.1079,0.1165
3.45,0.1081,0.1080,0.1152
3.50,0.1083,0.1081,0.1116
3.55,0.1080,0.1080,0.1087
3.60,0.1084,0.1081,0.1061
3.65,0.1088,0.1083,0.1040
3.70,0.1090,0.1085,0.1023
3.75,0.1082,0.1084,0.1008
3.80,0.1085,0.1085,0.0996
3.85,0.1088,0.1085,0.0985
3.90,0.1089,0.1086,0.0976
3.95,0.1085,0.1086,0.0970
4.00,0.1086,0.1086,0.0963
4.05,0.1097,0.1089,0.0958
4.10,0.1080,0.1086,0.0954
4.15,0.1090,0.1087,0.0950
4.20,0.1084,0.1086,0.0947
4.25,0.1087,0.1086,0.0944
4.30,0.1088,0.1087,0.0942
4.35,0.1083,0.1086,0.0941
4.40,0.1087,0.1086,0.0938
4.45,0.1089,0.1087,0.0937
4.50,0.1086,0.1087,0.0936
4.55,0.1089,0.1087,0.0935
4.60,0.1092,0.1089,0.0935
4.65,0.1086,0.1088,0.0934
4.70,0.1085,0.1087,0.0934
4.75,0.1089,0.1087,0.0933
4.80,0.1083,0.1086,0.0932
4.85,0.1084,0.1085,0.0932
4.90,0.1088,0.1086,0.0931
4.95,0.1091,0.1088,0.0932
5.00,0.1082,0.1086,0.0931
5.05,0.1081,0.1084,0.0930
5.10,0.1083,0.1084,0.0930
5.15,0.1086,0.1085,0.0930
5.20,0.1084,0.1084,0.0929
5.25,0.1089,0.1086,0.0929
5.30,0.1086,0.1086,0.0929
5.35,0.1082,0.1085,0.0929
5.40,0.1090,0.1086,0.0929
5.45,0.1085,0.1086,0.0929
5.50,0.1080,0.1084,0.0929
5.55,0.1083,0.1084,0.0929
5.60,0.1068,0.1079,0.0927
5.65,0.1090,0.1083,0.0928
5.70,0.1085,0.1083,0.0928
5.75,0.1089,0.1085,0.0927
5.80,0.1076,0.1082,0.0927
5.85,0.1081,0.1082,0.0926
5.90,0.1091,0.1085,0.0927
5.95,0.1082,0.1084,0.0928
6.00,0.1092,0.1086,0.0927
6.05,0.1077,0.1084,0.0928
6.10,0.1080,0.1082,0.0927
6.15,0.1081,0.1082,0.0927
6.20,0.1092,0.1085,0.0928
6.25,0.1085,0.1085,0.0927
6.30,0.1088,0.1086,0.0928
6.35,0.1089,0.1087,0.0928
6.40,0.1081,0.1085,0.0928
6.45,0.1084,0.1085,0.0928
6.50,0.1088,0.1086,0.0928
6.55,0.1085,0.1085,0.0928
6.60,0.1084,0.1085,0.0928
6.65,0.1076,0.1082,0.0928
6.70,0.1085,0.1083,0.0928
6.75,0.1089,0.1085,0.0927
6.80,0.1087,0.1085,0.0928
6.85,0.1084,0.1085,0.0928
6.90,0.1085,0.1085,0.0928
6.95,0.1077,0.1083,0.0928
7.00,0.1090,0.1085,0.0928
7.05,0.1086,0.1085,0.0928
7.10,0.1087,0.1086,0.0928
7.15,0.1082,0.1085,0.0928
7.20,0.1086,0.1085,0.0928
7.25,0.1096,0.1088,0.0929
7.30,0.1087,0.1088,0.0929
7.35,0.1079,0.1085,0.0929
7.40,0.1088,0.1086,0.0929
7.45,0.1082,0.1085,0.0929
7.50,0.1087,0.1086,0.0929
7.55,0.1087,0.1086,0.0929
7.60,0.1086,0.1086,0.0929
7.65,0.1087,0.1086,0.0929
7.70,0.1088,0.1087,0.0929
7.75,0.1090,0.1088,0.0930
7.80,0.1051,0.1077,0.0928
7.85,0.1025,0.1061,0.0925
7.90,0.0980,0.1037,0.0917
7.95,0.0984,0.1021,0.0909
8.00,0.0965,0.1004,0.0900
8.05,0.0887,0.0969,0.0886
8.10,0.0983,0.0973,0.0948
8.15,0.1030,0.0990,0.1004
8.20,0.1086,0.1019,0.1054
8.25,0.1081,0.1038,0.1100
8.30,0.1083,0.1051,0.1140
8.35,0.1084,0.1061,0.1175
8.40,0.1088,0.1069,0.1200
8.45,0.1085,0.1074,0.1200
8.50,0.1087,0.1078,0.1181
8.55,0.1081,0.1079,0.1165
8.60,0.1092,0.1083,0.1152
8.65,0.1089,0.1085,0.1118
8.70,0.1083,0.1084,0.1088
8.75,0.1085,0.1084,0.1063
8.80,0.1089,0.1086,0.1042
8.85,0.1086,0.1086,0.1024
8.90,0.1088,0.1086,0.1010
8.95,0.1084,0.1086,0.0997
9.00,0.1087,0.1086,0.0987
9.05,0.1073,0.1082,0.0977
9.10,0.1071,0.1079,0.0968
9.15,0.1056,0.1072,0.0961
9.20,0.1044,0.1064,0.0952
9.25,0.1087,0.1071,0.0946
9.30,0.1094,0.1078,0.0942
9.35,0.1081,0.1079,0.0939
9.40,0.1079,0.1079,0.0937
9.45,0.1051,0.1071,0.0933
9.50,0.1050,0.1065,0.0929
9.55,0.1027,0.1053,0.0925
9.60,0.1022,0.1044,0.0918
9.65,0.1017,0.1036,0.0912
9.70,0.1026,0.1033,0.0907
9.75,0.1091,0.1050,0.0905
9.80,0.0990,0.1032,0.0900
9.85,0.0957,0.1010,0.0892
9.90,0.0978,0.1000,0.0958
9.95,0.1008,0.1003,0.1014
10.00,0.1043,0.1015,0.1062
10.05,0.1054,0.1027,0.1105
10.10,0.1078,0.1042,0.1143
10.15,0.1084,0.1055,0.1176
10.20,0.1055,0.1055,0.1200
10.25,0.1088,0.1065,0.1200
10.30,0.1091,0.1073,0.1180
10.35,0.1081,0.1075,0.1164
10.40,0.1090,0.1080,0.1151
10.45,0.1093,0.1084,0.1116
10.50,0.1080,0.1083,0.1086
10.55,0.1086,0.1084,0.1062
10.60,0.1093,0.1086,0.1041
10.65,0.1087,0.1086,0.1024
10.70,0.1082,0.1085,0.1009
10.75,0.1089,0.1086,0.0996
10.80,0.1085,0.1086,0.0986
10.85,0.1028,0.1069,0.0975
10.90,0.1015,0.1052,0.0962
10.95,0.0992,0.1034,0.0950
11.00,0.1090,0.1051,0.0940
11.05,0.0898,0.1005,0.0926
11.10,0.0994,0.1002,0.0987
11.15,0.1027,0.1009,0.1038
11.20,0.1085,0.1032,0.1086
11.25,0.1043,0.1035,0.1126
11.30,0.1089,0.1051,0.1162
11.35,0.1079,0.1060,0.1193
11.40,0.1087,0.1068,0.1200
11.45,0.1086,0.1073,0.1200
11.50,0.1088,0.1078,0.1180
11.55,0.1091,0.1081,0.1165
11.60,0.1086,0.1083,0.1152
11.65,0.1080,0.1082,0.1117
11.70,0.1089,0.1084,0.1088
11.75,0.1085,0.1084,0.1063
11.80,0.1086,0.1085,0.1042
11.85,0.1083,0.1084,0.1024
11.90,0.1084,0.1084,0.1009
11.95,0.1087,0.1085,0.0997
12.00,0.1084,0.1085,0.0986
12.05,0.1081,0.1084,0.0976
12.10,0.1084,0.1084,0.0969
12.15,0.1088,0.1085,0.0963
12.20,0.1087,0.1085,0.0957
12.25,0.1090,0.1087,0.0954
12.30,0.1093,0.1089,0.0950
12.35,0.1093,0.1090,0.0947
12.40,0.1086,0.1089,0.0945
12.45,0.1077,0.1085,0.0942
12.50,0.1083,0.1084,0.0940
12.55,0.1053,0.1075,0.0936
12.60,0.1064,0.1072,0.0933
12.65,0.1084,0.1075,0.0931
12.70,0.1043,0.1066,0.0928
12.75,0.1006,0.1048,0.0922
12.80,0.0985,0.1029,0.0914
12.85,0.1002,0.1021,0.0906
12.90,0.0967,0.1005,0.0898
12.95,0.0980,0.0997,0.0961
13.00,0.1020,0.1004,0.1017
13.05,0.1061,0.1021,0.1066
13.10,0.1087,0.1041,0.1110
13.15,0.1081,0.1053,0.1149
13.20,0.1087,0.1063,0.1183
13.25,0.1086,0.1070,0.1200
13.30,0.1090,0.1076,0.1200
13.35,0.1093,0.1081,0.1182
13.40,0.1089,0.1083,0.1166
13.45,0.1085,0.1084,0.1154
13.50,0.1082,0.1083,0.1118
13.55,0.1091,0.1086,0.1089
13.60,0.1089,0.1087,0.1064
13.65,0.1084,0.1086,0.1043
13.70,0.1088,0.1086,0.1026
13.75,0.1094,0.1089,0.1011
13.80,0.1091,0.1089,0.0999
13.85,0.1045,0.1076,0.0986
13.90,0.1022,0.1060,0.0974
13.95,0.0955,0.1028,0.0958
14.00,0.0863,0.0979,0.0936
14.05,0.1024,0.0992,0.0994
14.10,0.1080,0.1019,0.1047
14.15,0.1088,0.1039,0.1093
14.20,0.1077,0.1051,0.1135
14.25,0.1088,0.1062,0.1171
14.30,0.1080,0.1067,0.1200
14.35,0.1085,0.1073,0.1200
14.40,0.1090,0.1078,0.1200
14.45,0.1085,0.1080,0.1181
14.50,0.1090,0.1083,0.1166
14.55,0.1087,0.1084,0.1153
14.60,0.1083,0.1084,0.1118
14.65,0.1081,0.1083,0.1088
14.70,0.1080,0.1082,0.1063
14.75,0.1079,0.1081,0.1042
14.80,0.1087,0.1083,0.1024
14.85,0.1084,0.1083,0.1008
14.90,0.1089,0.1085,0.0996
14.95,0.1089,0.1086,0.0986
15.00,0.1091,0.1088,0.0977
15.05,0.1088,0.1088,0.0970
15.10,0.1078,0.1085,0.0963
15.15,0.1091,0.1087,0.0959
15.20,0.1086,0.1087,0.0954
15.25,0.1082,0.1085,0.0950
15.30,0.1084,0.1085,0.0946
15.35,0.1085,0.1085,0.0944
15.40,0.1099,0.1089,0.0942
15.45,0.1080,0.1087,0.0940
15.50,0.1089,0.1087,0.0939
15.55,0.1091,0.1088,0.0937
15.60,0.1088,0.1088,0.0936
15.65,0.1088,0.1088,0.0936
15.70,0.1078,0.1085,0.0935
15.75,0.1085,0.1085,0.0934
15.80,0.1090,0.1087,0.0933
15.85,0.1090,0.1088,0.0933
15.90,0.1089,0.1088,0.0933
15.95,0.1077,0.1085,0.0932
16.00,0.1082,0.1084,0.0931
16.05,0.1092,0.1086,0.0931
16.10,0.1080,0.1084,0.0931
16.15,0.1082,0.1084,0.0930
16.20,0.1081,0.1083,0.0929
16.25,0.1074,0.1080,0.0928
16.30,0.1089,0.1083,0.0928
16.35,0.1085,0.1083,0.0928
16.40,0.1090,0.1085,0.0928
16.45,0.1086,0.1085,0.0928
16.50,0.1084,0.1085,0.0928
16.55,0.1087,0.1086,0.0929
16.60,0.1077,0.1083,0.0928
16.65,0.1071,0.1079,0.0927
16.70,0.1088,0.1082,0.0927
16.75,0.1085,0.1083,0.0927
16.80,0.1080,0.1082,0.0927
16.85,0.1090,0.1085,0.0927
16.90,0.1089,0.1086,0.0927
16.95,0.1089,0.1087,0.0927
